dataset,ProtoPGTN,ProtoPLSTM,R-stsf,timesnet,mvts,MLP,ProtoPConv
AsphaltObstaclesCoordinates,0.73657289,0.734,0.76342711,0.780051151,0.795396419,0,0.5269
AsphaltPavementTypeCoordinates,0.804924242,0.882575758,0.89782197,0.858901515,0.807765152,0,0.8419
AsphaltRegularityCoordinates,0.916111851,0.965379494,0.976431425,0.958721704,0.89081225,0.001331558,0.9574
ArticularyWordRecognition,0.93,0.966666667,0.514666667,0.98,0.983333333,0.01,0.81
BasicMotions,0.825,0.75,1,0.975,1,0,0.625
Blink,0.555555556,0.444444444,0.989777778,0.953333333,0.957777778,0.006666667,0.7733
CharacterTrajectories,0.886490251,0.984679666,0.969428969,0.988857939,0.988857939,0.000696379,0.9721
Cricket,0.819444444,0.944444444,0.875,0.902777778,,0.013888889,0.5972
EMOPain,0.783098592,0.783098592,0.796056338,0.811267606,0.861971831,0.008450705,0.6676
ERing,0.685185185,0.133333333,0.793703704,0.814814815,0.948148148,0.011111111,0.3333
EthanolConcentration,0.281368821,0.288973384,0.54486692,0.296577947,,0.007604563,0.251
EyesOpenShut,0.5,0.5,0.492857143,0.666666667,0.642857143,0.047619049,0.5
FaceDetection,0.658059024,,0.525312145,0.676503973,0.676787741,0.000283768,0.6532
DuckDuckGeese,0.36,,0.254,0.58,0.7,0.079999998,0.24
JapaneseVowels,0.954054054,,0.612162162,0.983783784,0.994594595,0.008108108,
MotionSenseHAR,0.924528302,0.988679245,0.962264151,0.920754717,0.958490566,0.011320755,0.9509
RacketSports,0.815789474,,0.815789474,0.842105263,0.881578947,0.006578947,
SelfRegulationSCP1,0.880546075,0.80887372,0.809897611,0.90443686,0.897610922,0,0.6928
Handwriting,0.138823529,0.034117647,0.250352941,0.309411765,0.321176471,0,0.0694
Epilepsy,0.746376812,0.913043478,0.986956522,0.920289855,0.97826087,0.014492754,0.7246
AtrialFibrillation,0.333333333,0.333333333,0.473333333,0.466666667,0.466666667,0,0.3333
FingerMovements,0.45,,0.453,0.57,0.57,0.02,
HandMovementDirection,0.5,0.337837838,0.366216216,0.581081081,0.675675676,0,0.1757
Heartbeat,0.72195122,0.72195122,0.725853659,0.780487805,0.746341463,0,0.722
Libras,0.538888889,,0.712777778,0.755555556,0.866666667,0.027777778,
LSST,0.54622871,,0.477007299,0.379967559,0.589213301,0.000405515,
MindReading,0.231240429,,0.351914242,0.415007657,0.453292496,0.001531394,0.2312
NATOPS,0.761111111,,0.682222222,0.838888889,0.961111111,0.005555556,
PEMS-SF,0.526011561,,0.769942197,0.820809249,0.849710983,0.03468208,0.3295
PenDigits,0.979702687,,0.895854774,0.982847341,0.976843911,0.000571755,
PhonemeSpectra,0.025648673,0.184312556,0.285982702,0.139278258,0.084402028,0.000596481,0.1452
SelfRegulationSCP2,0.505555556,0.5,0.538888889,0.538888889,0.55,0.011111111,0.5
SpokenArabicDigits,0.980445657,0.967712597,0.894815825,0.981809914,0.980445657,0.000909504,0.9768
StandWalkJump,0.333333333,0.333333333,0.48,0.466666667,,0.13333334,0.3333
UWaveGestureLibrary,0.834375,0.75,0.75625,0.86875,0.865625,0,0.1375
