dataset_name,ProtoPGTN,ProtopLSTM,r-stsf,timesnet,transformer
ACSF1,0.34,0.1,0.902,0.64,
Adiac,0.189258312,0.140664962,0.834015345,0.460358056,0.485933504
AllGestureWiimoteX,0.314285714,0.358571429,0.627285714,0.531428571,0.52
AllGestureWiimoteY,0.404285714,0.435714286,0.641,0.611428571,
AllGestureWiimoteZ,0.158571429,0.278571429,0.670285714,0.518571429,0.47
ArrowHead,0.72,0.662857143,0.752571429,0.611428571,0.817142857
AsphaltObstacles,0.544757033,0.685421995,0.857800512,0.846547315,0.772378517
Beef,0.466666667,0.333333333,0.88,0.666666667,0.866666667
BeetleFly,0.9,0.65,0.9,0.85,0.95
BirdChicken,0.6,0.5,0.905,0.75,0.9
BME,0.96,0.386666667,1,0.64,0.9
Car,0.7,0.6,0.873333333,0.783333333,0.85
CBF,0.864444444,0.826666667,0.991111111,0.838888889,0.983333333
Chinatown,0.705539359,,0.985422741,0.970845481,0.965014577
ChlorineConcentration,0.532552083,0.532552083,0.777864583,0.613020833,0.678125
CinCECGTorso,0.515942029,0.315942029,0.999057971,0.843478261,
Coffee,1,0.607142857,1,0.892857143,0.964285714
Colposcopy,0.287128713,0.396039604,0.434653465,0.495049505,0.435643564
Computers,0.548,0.62,0.7356,0.656,0.696
CricketY,0.461538462,0.530769231,0.772307692,0.656410256,0.566666667
CricketZ,0.387179487,0.564102564,0.766410256,0.630769231,0.569230769
Crop,0.737738095,,0.777946429,0.757202381,0.74875
DiatomSizeReduction,0.284313725,,0.926797386,0.588235294,0.990196078
DistalPhalanxOutlineAgeGroup,0.683453237,0.697841727,0.728776978,0.784172662,0.784172662
DistalPhalanxOutlineCorrect,0.583333333,0.583333333,0.777898551,0.782608696,0.775362319
DistalPhalanxTW,0.582733813,0.302158273,0.671223022,0.71942446,0.712230216
DodgerLoopDay,0.337662338,0.233766234,0.632467532,0.636363636,0.623376623
DodgerLoopGame,0.763779528,0.511811024,0.848031496,0.708661417,0.811023622
DodgerLoopWeekend,0.26984127,0.785714286,0.984126984,0.984126984,0.984126984
ECG5000,0.924888889,0.919555556,0.944,0.940888889,0.941333333
ECGFiveDays,0.635307782,0.487804878,0.993960511,0.785133566,0.93844367
ElectricDeviceDetection,0.859341826,0.83970276,0.869055202,0.862791932,0.863057325
ElectricDevices,0.544157697,0.651796135,0.74104526,0.663208404,0.673842563
EOGHorizontalSignal,0.378453039,0.226519337,0.577348066,0.483425414,
EOGVerticalSignal,0.287292818,0.11878453,0.533149171,0.403314917,
Epilepsy2,0.197898424,0.802101576,0.957854641,0.952714536,0.920402802
EthanolLevel,0.252,0.282,0.6234,0.648,
FaceAll,0.814201183,0.689940828,0.921656805,0.773964497,0.755029586
FaceFour,0.738636364,0.25,0.982954545,0.829545455,0.840909091
FacesUCR,0.632682927,0.632682927,0.896878049,0.841463415,0.842926829
CricketX,0.366666667,0.605128205,0.745641026,0.615384615,0.551282051
ECG200,0.81,0.8,0.902,0.84,0.9
WordSynonyms,0.358934169,0.431034483,0.653918495,0.601880878,0.597178683
