dataset,ProtoPGTN,ProtoPLSTM,timesnet,mvts,MLP
AsphaltObstaclesCoordinates,0.98391287,1.85694705,2.22217089,0.88,0.0022
AsphaltPavementTypeCoordinates,2.18017329,4.33908707,4.19898338,2.88,0.0072
AsphaltRegularityCoordinates,1.42578271,2.38239962,3.42240199,1.79,0.004475
ArticularyWordRecognition,1.061157,6.56246464,1.74623037,0.35,0.000875
BasicMotions,0.53666264,0.59218342,0.96218459,0.15,0.000375
Blink,1.42502194,2.627453,2.62301668,1.87,0.004675
CharacterTrajectories,2.51148525,6.46050975,5.29359914,1.04,0.0026
Cricket,2.73149828,9.64629521,1.2560695,0.14,0.00035
EMOPain,1.48049682,14.0935125,2.13462234,1.05,0.002625
ERing,0.54376879,0.62049164,1.25697659,0.18,0.00045
EthanolConcentration,0.52111644,6.15843964,1.12919156,0.12,0.0003
EyesOpenShut,0.53729141,0.71621793,0.97680418,0.15,0.000375
FaceDetection,6.07960196,,0.26137372,8.29,0.020725
DuckDuckGeese,1.51410115,,1.43051923,0.64,0.0016
JapaneseVowels,0.71071729,,1.86061978,0.32,0.0008
MotionSenseHAR,4.0186,68.0325669,2.69832633,10.76,0.0269
RacketSports,0.59666054,,1.3560663,0.25,0.000625
SelfRegulationSCP1,1.59610417,3.68509476,1.27459562,2.71,0.006775
Handwriting,0.85348878,1.92268356,2.36967038,0.38,0.00095
Epilepsy,0.64332191,0.90196919,1.37220327,0.25,0.000625
AtrialFibrillation,0.48428079,1.67276316,0.72705522,0.21,0.000525
FingerMovements,0.68679455,,0.68910739,0.3,0.00075
HandMovementDirection,0.78908019,2.95763748,1.32735325,0.52,0.0013
Heartbeat,0.93432537,10.8406307,1.45278985,0.77,0.001925
Libras,0.73335917,,1.45330269,0.25,0.000625
LSST,2.49248663,,0.17071517,2.61,0.006525
MindReading,2.07305885,,3.34533249,3.6,0.009
NATOPS,0.67617153,,1.4286381,1.8,0.0045
PEMS-SF,1.78082548,,1.91990183,6.66,0.01665
PenDigits,5.64628671,,0.2199052,15.61,0.039025
PhonemeSpectra,11.3747849,227.068159,0.19020366,18.6,0.0465
SelfRegulationSCP2,0.69528173,3.95272996,0.98344683,3.75,0.009375
SpokenArabicDigits,6.22968722,16.5667959,0.13582864,13.1,0.03275
StandWalkJump,0.90334747,1.02928144,0.86310815,0.11,0.000275
UWaveGestureLibrary,0.71978401,1.51379674,1.25135948,2.19,0.005475
