prototype train_sample label similarity
0 152 11 0.999080240726471
1 186 3 0.9973147511482239
2 129 24 0.9983832836151123
3 209 21 0.9976778030395508
4 152 11 0.9991713762283325
5 145 2 0.997970461845398
6 186 3 0.9981610774993896
7 38 1 0.9982555508613586
8 132 20 0.994511604309082
9 157 5 0.996686577796936
10 0 15 0.9982638359069824
11 25 0 0.9957738518714905
12 209 21 0.9983710646629333
13 138 15 0.9984968304634094
14 209 21 0.998668372631073
15 172 11 0.9985764026641846
16 209 21 0.9987819194793701
17 130 22 0.9983735084533691
18 63 24 0.9978361129760742
19 17 10 0.993798017501831
20 219 18 0.9982086420059204
21 132 20 0.9962689280509949
22 0 15 0.9981839060783386
23 179 12 0.9984531402587891
24 45 4 0.9990220069885254
25 189 4 0.99925696849823
26 132 20 0.9968799948692322
27 57 7 0.9960077404975891
28 57 7 0.9961560964584351
29 209 21 0.9981950521469116
30 82 3 0.9934722185134888
31 52 23 0.9987332820892334
32 37 11 0.9992682337760925
33 173 9 0.9984779953956604
34 210 23 0.9984925985336304
35 10 8 0.9955957531929016
36 114 6 0.9961353540420532
37 25 0 0.9953137040138245
38 1 0 0.9933934211730957
39 33 14 0.9957151412963867
40 52 23 0.9985021948814392
41 131 14 0.9932793378829956
42 135 22 0.9986968040466309
43 52 23 0.9987977743148804
44 137 22 0.9884210824966431
45 82 3 0.992498517036438
46 17 10 0.994128942489624
47 27 3 0.9913051128387451
48 52 23 0.9987138509750366
49 86 13 0.9957401156425476
50 189 4 0.9994620680809021
51 138 15 0.9977405667304993
52 11 1 0.9987725615501404
53 11 1 0.9984718561172485
54 112 5 0.9961366653442383
55 219 18 0.9980030655860901
56 57 7 0.9961676597595215
57 11 1 0.9985544681549072
58 11 1 0.9987361431121826
59 129 24 0.9986672401428223
60 191 20 0.9970512390136719
61 186 3 0.9976035356521606
62 61 22 0.9987956285476685
63 19 4 0.9989244937896729
64 144 2 0.9989383220672607
65 90 6 0.9947177171707153
66 90 6 0.993893563747406
67 202 18 0.9902414083480835
68 156 19 0.9988934993743896
69 137 22 0.9877498149871826
70 57 7 0.9964142441749573
71 57 7 0.9952627420425415
72 66 9 0.9903972148895264
73 132 20 0.9972036480903625
74 179 12 0.9987523555755615
75 82 3 0.991269588470459
76 144 2 0.9984790086746216
77 144 2 0.9980686902999878
78 17 10 0.992169201374054
79 37 11 0.9991360902786255
80 45 4 0.9978867769241333
81 132 20 0.9972342252731323
82 25 0 0.9965845346450806
83 38 1 0.9983744025230408
84 116 8 0.9974267482757568
85 128 5 0.9671522974967957
86 169 16 0.9940162897109985
87 1 0 0.9941282272338867
88 145 2 0.9990293979644775
89 52 23 0.9983851909637451
90 156 19 0.9986096024513245
91 186 3 0.9976662397384644
92 15 17 0.9802181720733643
93 144 2 0.998812735080719
94 29 1 0.9974532723426819
95 137 22 0.9885443449020386
96 90 6 0.9970611333847046
97 44 15 0.9973645210266113
98 179 12 0.9986459612846375
99 132 20 0.9972187876701355
100 156 19 0.9988862872123718
101 90 6 0.9958707094192505
102 73 9 0.997533917427063
103 135 22 0.9988914132118225
104 144 2 0.9991025328636169
105 215 17 0.9898319840431213
106 174 18 0.9969539642333984
107 25 0 0.9932870864868164
108 162 13 0.9891995191574097
109 57 7 0.9947024583816528
110 128 5 0.9628791213035583
111 179 12 0.9986128807067871
112 132 20 0.9952962398529053
113 52 23 0.9986298680305481
114 135 22 0.998293399810791
115 218 23 0.9972851276397705
116 63 24 0.9976738691329956
117 132 20 0.9975321292877197
118 66 9 0.9912838339805603
119 133 8 0.9970921277999878
120 90 6 0.9963747262954712
121 209 21 0.9986134171485901
122 45 4 0.9992237091064453
123 97 13 0.9937270283699036
124 73 9 0.9982837438583374
